transaction_id,member_id,book_id,branch_id,checkout_date,due_date,return_date,fine_amount
T000040,M0710,B0294,BR2,2024-09-19 09:41:00,2024-10-03 09:41:00,2024-09-28 09:41:00,0.0
T000041,M0174,B0047,BR1,2025-07-10 09:58:00,2025-07-24 09:58:00,2025-07-13 09:58:00,0.0
T000042,M0233,B0497,BR1,2025-10-16 18:11:00,2025-10-30 18:11:00,2025-10-29 18:11:00,0.0
T000043,M0168,B0064,BR2,2025-06-12 10:20:00,2025-06-26 10:20:00,2025-07-07 10:20:00,2.75
T000044,M0191,B0057,BR1,2024-11-16 18:30:00,2024-11-30 18:30:00,2024-11-24 18:30:00,0.0
T000045,M0256,B0083,BR3,2024-09-30 16:13:00,2024-10-14 16:13:00,2024-10-13 16:13:00,0.0
T000046,M0792,B0125,BR3,2024-10-28 19:52:00,2024-11-11 19:52:00,2024-10-31 19:52:00,0.0
T000047,M0748,B0496,BR4,2025-07-17 18:40:00,2025-07-31 18:40:00,2025-07-20 18:40:00,0.0
T000048,M0133,B0312,BR1,2025-07-29 14:07:00,2025-08-12 14:07:00,2025-08-03 14:07:00,0.0
T000049,M0080,B0089,BR2,2025-04-07 14:03:00,2025-04-21 14:03:00,2025-04-08 14:03:00,0.0
T000050,M0720,B0253,BR2,2025-05-14 16:21:00,2025-05-28 16:21:00,2025-05-22 16:21:00,0.0
T000051,M0003,B0256,BR2,2025-03-10 18:50:00,2025-03-24 18:50:00,2025-03-13 18:50:00,0.0
T000052,M0537,B0445,BR1,2024-04-23 10:55:00,2024-05-07 10:55:00,2024-04-28 10:55:00,0.0
T000053,M0353,B0418,BR1,2025-02-17 14:07:00,2025-03-03 14:07:00,2025-03-06 14:07:00,0.75
T000054,M0500,B0375,BR2,2024-01-06 16:56:00,2024-01-20 16:56:00,2024-01-14 16:56:00,0.0
T000055,M0219,B0135,BR1,2024-09-02 11:30:00,2024-09-16 11:30:00,2024-09-16 11:30:00,0.0
T000056,M0704,B0402,BR2,2025-02-12 17:46:00,2025-02-26 17:46:00,2025-02-24 17:46:00,0.0
T000057,M0739,B0013,BR1,2025-08-29 15:36:00,2025-09-12 15:36:00,2025-09-09 15:36:00,0.0
T000058,M0376,B0469,BR3,2025-02-21 16:27:00,2025-03-07 16:27:00,2025-03-07 16:27:00,0.0
T000059,M0618,B0452,BR1,2024-10-14 15:25:00,2024-10-28 15:25:00,2024-11-09 15:25:00,3.0
T000060,M0323,B0078,BR2,2025-01-16 18:36:00,2025-01-30 18:36:00,2025-01-22 18:36:00,0.0
T000061,M0365,B0481,BR1,2024-02-21 15:10:00,2024-03-06 15:10:00,2024-02-23 15:10:00,0.0
T000062,M0266,B0155,BR3,2025-06-30 16:06:00,2025-07-14 16:06:00,2025-07-09 16:06:00,0.0
T000063,M0520,B0444,BR1,2025-07-30 12:26:00,2025-08-13 12:26:00,2025-08-10 12:26:00,0.0
T000064,M0249,B0299,BR1,2025-07-24 16:25:00,2025-08-07 16:25:00,2025-08-04 16:25:00,0.0
T000065,M0218,B0090,BR1,2024-01-31 17:48:00,2024-02-14 17:48:00,2024-02-09 17:48:00,0.0
T000066,M0492,B0248,BR3,2024-12-06 17:46:00,2024-12-20 17:46:00,2024-12-11 17:46:00,0.0
T000067,M0552,B0293,BR2,2025-11-25 15:02:00,2025-12-09 15:02:00,2025-11-26 15:02:00,0.0
T000068,M0683,B0125,BR3,2025-11-04 19:48:00,2025-11-18 19:48:00,2025-11-13 19:48:00,0.0
T000069,M0643,B0289,BR1,2024-04-13 16:28:00,2024-04-27 16:28:00,2024-04-18 16:28:00,0.0
T000070,M0661,B0029,BR1,2024-10-28 16:33:00,2024-11-11 16:33:00,2024-10-30 16:33:00,0.0
T000071,M0555,B0452,BR1,2025-01-27 15:41:00,2025-02-10 15:41:00,2025-02-13 15:41:00,0.75
T000072,M0443,B0135,BR3,2024-04-12 15:01:00,2024-04-26 15:01:00,2024-04-24 15:01:00,0.0
T000073,M0393,B0291,BR1,2024-06-04 13:32:00,2024-06-18 13:32:00,2024-06-09 13:32:00,0.0
T000074,M0317,B0500,BR1,2024-10-20 09:59:00,2024-11-03 09:59:00,2024-10-27 09:59:00,0.0
T000075,M0693,B0098,BR2,2024-05-09 19:57:00,2024-05-23 19:57:00,2024-05-27 19:57:00,1.0
T000076,M0319,B0364,BR1,2025-10-17 17:24:00,2025-10-31 17:24:00,2025-10-20 17:24:00,0.0
T000077,M0106,B0041,BR4,2024-09-27 18:12:00,2024-10-11 18:12:00,2024-10-06 18:12:00,0.0
T000078,M0279,B0461,BR2,2024-10-09 18:01:00,2024-10-23 18:01:00,2024-10-23 18:01:00,0.0
T000079,M0023,B0182,BR1,2025-03-21 16:00:00,2025-04-04 16:00:00,2025-03-22 16:00:00,0.0
T000080,M0168,B0395,BR2,2024-08-15 14:07:00,2024-08-29 14:07:00,2024-08-31 14:07:00,0.5
T000081,M0633,B0364,BR1,2024-11-02 17:52:00,2024-11-16 17:52:00,2024-11-08 17:52:00,0.0
T000082,M0234,B0439,BR1,2025-11-13 15:44:00,2025-11-27 15:44:00,2025-11-30 15:44:00,0.75
T000083,M0621,B0101,BR2,2025-10-01 12:11:00,2025-10-15 12:11:00,2025-10-09 12:11:00,0.0
T000084,M0209,B0157,BR2,2025-11-05 17:01:00,2025-11-19 17:01:00,2025-11-15 17:01:00,0.0
T000085,M0417,B0220,BR3,2024-04-21 14:46:00,2024-05-05 14:46:00,2024-05-17 14:46:00,3.0
T000086,M0736,B0491,BR1,2024-10-25 15:50:00,2024-11-08 15:50:00,2024-10-27 15:50:00,0.0
T000087,M0564,B0105,BR1,2024-03-05 14:00:00,2024-03-19 14:00:00,2024-03-10 14:00:00,0.0
T000088,M0092,B0345,BR1,2024-01-10 17:24:00,2024-01-24 17:24:00,2024-01-13 17:24:00,0.0
T000089,M0631,B0465,BR2,2024-03-15 18:55:00,2024-03-29 18:55:00,2024-04-16 18:55:00,4.5
T000090,M0023,B0370,BR1,2024-01-23 12:38:00,2024-02-06 12:38:00,2024-02-01 12:38:00,0.0
T000091,M0170,B0012,BR1,2025-04-23 17:34:00,2025-05-07 17:34:00,2025-05-04 17:34:00,0.0
T000092,M0475,B0445,BR3,2024-11-01 16:22:00,2024-11-15 16:22:00,2024-12-02 16:22:00,4.25
T000093,M0271,B0210,BR3,2024-09-13 12:00:00,2024-09-27 12:00:00,2024-10-07 12:00:00,2.5
T000094,M0068,B0356,BR1,2025-08-27 10:34:00,2025-09-10 10:34:00,2025-08-28 10:34:00,0.0
T000095,M0091,B0019,BR4,2025-10-03 15:23:00,2025-10-17 15:23:00,2025-10-16 15:23:00,0.0
T000096,M0777,B0063,BR4,2025-07-01 12:36:00,2025-07-15 12:36:00,2025-07-02 12:36:00,0.0
T000097,M0463,B0220,BR2,2025-03-14 17:29:00,2025-03-28 17:29:00,2025-03-28 17:29:00,0.0
T000098,M0425,B0158,BR4,2025-07-02 13:04:00,2025-07-16 13:04:00,2025-07-11 13:04:00,0.0
T000099,M0132,B0209,BR2,2025-08-12 14:59:00,2025-08-26 14:59:00,2025-08-18 14:59:00,0.0
T000100,M0742,B0064,BR3,2024-03-19 17:10:00,2024-04-02 17:10:00,2024-03-29 17:10:00,0.0
T000101,M0321,B0129,BR1,2025-12-06 17:31:00,2025-12-20 17:31:00,2025-12-20 17:31:00,0.0
T000102,M0024,B0366,BR2,2024-05-08 13:24:00,2024-05-22 13:24:00,2024-05-15 13:24:00,0.0
T000103,M0599,B0028,BR1,2025-11-06 15:55:00,2025-11-20 15:55:00,2025-11-19 15:55:00,0.0
T000104,M0491,B0050,BR3,2025-03-02 17:48:00,2025-03-16 17:48:00,2025-03-13 17:48:00,0.0
T000105,M0648,B0339,BR3,2025-12-24 09:20:00,2026-01-07 09:20:00,2025-12-28 09:20:00,0.0
T000106,M0100,B0049,BR1,2025-05-25 13:01:00,2025-06-08 13:01:00,2025-06-13 13:01:00,1.25
T000107,M0656,B0326,BR1,2025-04-11 17:10:00,2025-04-25 17:10:00,2025-04-20 17:10:00,0.0
T000108,M0614,B0465,BR1,2024-12-03 18:47:00,2024-12-17 18:47:00,2024-12-13 18:47:00,0.0
T000109,M0628,B0095,BR1,2024-06-06 12:03:00,2024-06-20 12:03:00,2024-06-10 12:03:00,0.0
T000110,M0760,B0107,BR1,2025-03-18 12:40:00,2025-04-01 12:40:00,2025-03-25 12:40:00,0.0
T000111,M0106,B0281,BR4,2024-02-24 18:53:00,2024-03-09 18:53:00,2024-03-09 18:53:00,0.0
T000112,M0788,B0424,BR4,2025-01-07 14:54:00,2025-01-21 14:54:00,2025-01-09 14:54:00,0.0
T000113,M0635,B0105,BR2,2025-11-02 13:41:00,2025-11-16 13:41:00,2025-11-26 13:41:00,2.5
T000114,M0526,B0212,BR2,2025-10-03 18:28:00,2025-10-17 18:28:00,2025-10-05 18:28:00,0.0
T000115,M0415,B0315,BR1,2024-01-17 17:06:00,2024-01-31 17:06:00,2024-01-21 17:06:00,0.0
T000116,M0286,B0373,BR3,2024-10-10 14:45:00,2024-10-24 14:45:00,2024-10-14 14:45:00,0.0
T000117,M0087,B0274,BR2,2025-11-10 14:05:00,2025-11-24 14:05:00,2025-12-09 14:05:00,3.75
T000118,M0362,B0145,BR1,2024-06-27 12:22:00,2024-07-11 12:22:00,2024-07-10 12:22:00,0.0
T000119,M0218,B0421,BR1,2024-04-05 15:59:00,2024-04-19 15:59:00,2024-04-06 15:59:00,0.0
T000120,M0416,B0482,BR4,2024-09-14 14:46:00,2024-09-28 14:46:00,2024-09-24 14:46:00,0.0
T000121,M0748,B0112,BR4,2024-09-16 12:06:00,2024-09-30 12:06:00,2024-10-08 12:06:00,2.0
T000122,M0288,B0442,BR1,2025-01-15 17:54:00,2025-01-29 17:54:00,2025-01-20 17:54:00,0.0
T000123,M0762,B0158,BR1,2024-08-19 18:15:00,2024-09-02 18:15:00,2024-08-21 18:15:00,0.0
T000124,M0561,B0300,BR2,2024-11-19 14:19:00,2024-12-03 14:19:00,2024-12-02 14:19:00,0.0
T000125,M0234,B0476,BR1,2024-11-18 19:05:00,2024-12-02 19:05:00,2024-11-29 19:05:00,0.0
T000126,M0473,B0383,BR1,2025-02-24 13:58:00,2025-03-10 13:58:00,2025-03-08 13:58:00,0.0
T000127,M0014,B0352,BR1,2025-06-24 18:04:00,2025-07-08 18:04:00,2025-07-08 18:04:00,0.0
T000128,M0437,B0247,BR2,2025-04-25 16:34:00,2025-05-09 16:34:00,2025-04-29 16:34:00,0.0
T000129,M0536,B0344,BR1,2025-04-05 14:29:00,2025-04-19 14:29:00,2025-04-18 14:29:00,0.0
T000130,M0659,B0353,BR2,2024-11-16 18:12:00,2024-11-30 18:12:00,2024-11-18 18:12:00,0.0
T000131,M0051,B0124,BR1,2025-08-11 19:16:00,2025-08-25 19:16:00,2025-08-17 19:16:00,0.0
T000132,M0635,B0279,BR2,2025-03-21 10:20:00,2025-04-04 10:20:00,2025-04-08 10:20:00,1.0
T000133,M0263,B0131,BR1,2024-06-25 15:39:00,2024-07-09 15:39:00,2024-06-26 15:39:00,0.0
T000134,M0358,B0067,BR1,2024-10-04 10:28:00,2024-10-18 10:28:00,2024-10-15 10:28:00,0.0
T000135,M0716,B0258,BR3,2025-08-14 15:17:00,2025-08-28 15:17:00,2025-08-15 15:17:00,0.0
T000136,M0329,B0022,BR3,2025-03-21 14:59:00,2025-04-04 14:59:00,2025-04-11 14:59:00,1.75
T000137,M0436,B0438,BR1,2024-11-27 17:18:00,2024-12-11 17:18:00,2024-12-08 17:18:00,0.0
T000138,M0589,B0402,BR1,2025-12-01 18:44:00,2025-12-15 18:44:00,2025-12-07 18:44:00,0.0
T000139,M0798,B0206,BR3,2024-03-23 11:58:00,2024-04-06 11:58:00,2024-04-13 11:58:00,1.75
T000140,M0337,B0348,BR2,2025-10-24 13:01:00,2025-11-07 13:01:00,2025-10-27 13:01:00,0.0
T000141,M0385,B0131,BR2,2025-11-18 14:05:00,2025-12-02 14:05:00,2025-11-30 14:05:00,0.0
T000142,M0539,B0007,BR1,2025-09-19 18:34:00,2025-10-03 18:34:00,2025-09-29 18:34:00,0.0
T000143,M0503,B0055,BR4,2024-10-13 17:27:00,2024-10-27 17:27:00,2024-10-22 17:27:00,0.0
T000144,M0169,B0486,BR1,2024-04-22 19:51:00,2024-05-06 19:51:00,2024-05-01 19:51:00,0.0
T000145,M0367,B0077,BR1,2024-01-11 14:26:00,2024-01-25 14:26:00,2024-01-20 14:26:00,0.0
T000146,M0305,B0120,BR2,2024-01-17 16:06:00,2024-01-31 16:06:00,2024-01-23 16:06:00,0.0
T000147,M0404,B0055,BR1,2025-10-07 15:05:00,2025-10-21 15:05:00,2025-10-12 15:05:00,0.0
T000148,M0108,B0027,BR1,2024-05-18 17:28:00,2024-06-01 17:28:00,2024-05-25 17:28:00,0.0
T000149,M0749,B0177,BR2,2025-03-18 14:35:00,2025-04-01 14:35:00,2025-04-15 14:35:00,3.5
T000150,M0047,B0024,BR1,2024-06-25 18:33:00,2024-07-09 18:33:00,2024-07-25 18:33:00,4.0
T000151,M0520,B0364,BR1,2024-03-19 09:44:00,2024-04-02 09:44:00,2024-03-26 09:44:00,0.0
T000152,M0084,B0166,BR2,2024-01-11 18:12:00,2024-01-25 18:12:00,2024-01-31 18:12:00,1.5
T000153,M0221,B0188,BR1,2025-11-19 11:42:00,2025-12-03 11:42:00,2025-12-07 11:42:00,1.0
T000154,M0707,B0433,BR2,2025-09-24 17:12:00,2025-10-08 17:12:00,2025-10-02 17:12:00,0.0
T000155,M0495,B0294,BR2,2025-04-22 18:48:00,2025-05-06 18:48:00,2025-05-03 18:48:00,0.0
T000156,M0536,B0165,BR1,2025-11-16 17:10:00,2025-11-30 17:10:00,2025-11-29 17:10:00,0.0
T000157,M0406,B0326,BR4,2024-10-24 13:48:00,2024-11-07 13:48:00,2024-11-06 13:48:00,0.0
T000158,M0023,B0149,BR1,2025-05-30 10:51:00,2025-06-13 10:51:00,2025-06-12 10:51:00,0.0
T000159,M0398,B0446,BR3,2024-10-02 16:50:00,2024-10-16 16:50:00,2024-10-06 16:50:00,0.0
T000160,M0404,B0434,BR1,2024-04-26 17:51:00,2024-05-10 17:51:00,2024-04-28 17:51:00,0.0
T000161,M0003,B0410,BR2,2025-11-21 16:57:00,2025-12-05 16:57:00,2025-11-22 16:57:00,0.0
T000162,M0251,B0327,BR4,2025-03-27 17:03:00,2025-04-10 17:03:00,2025-03-31 17:03:00,0.0
T000163,M0707,B0209,BR2,2025-08-21 19:08:00,2025-09-04 19:08:00,2025-09-03 19:08:00,0.0
T000164,M0739,B0317,BR1,2025-05-16 17:55:00,2025-05-30 17:55:00,2025-05-29 17:55:00,0.0
T000165,M0525,B0311,BR1,2025-04-10 14:41:00,2025-04-24 14:41:00,2025-04-22 14:41:00,0.0
T000166,M0696,B0101,BR3,2024-11-18 15:18:00,2024-12-02 15:18:00,2024-11-21 15:18:00,0.0
T000167,M0148,B0099,BR4,2024-03-04 16:16:00,2024-03-18 16:16:00,2024-03-05 16:16:00,0.0
T000168,M0636,B0122,BR2,2025-11-10 12:12:00,2025-11-24 12:12:00,2025-11-15 12:12:00,0.0
T000169,M0470,B0397,BR2,2025-03-30 17:11:00,2025-04-13 17:11:00,2025-03-31 17:11:00,0.0
T000170,M0135,B0312,BR2,2025-01-25 13:26:00,2025-02-08 13:26:00,2025-02-01 13:26:00,0.0
T000171,M0753,B0181,BR1,2025-08-23 16:40:00,2025-09-06 16:40:00,2025-08-30 16:40:00,0.0
T000172,M0482,B0246,BR1,2024-02-12 13:56:00,2024-02-26 13:56:00,2024-02-16 13:56:00,0.0
T000173,M0696,B0337,BR3,2024-08-19 11:48:00,2024-09-02 11:48:00,2024-09-01 11:48:00,0.0
T000174,M0257,B0357,BR3,2024-11-26 15:21:00,2024-12-10 15:21:00,2024-11-28 15:21:00,0.0
T000175,M0658,B0046,BR2,2025-02-03 15:29:00,2025-02-17 15:29:00,2025-02-09 15:29:00,0.0
T000176,M0381,B0496,BR4,2025-02-25 18:49:00,2025-03-11 18:49:00,2025-03-29 18:49:00,4.5
T000177,M0782,B0462,BR3,2025-02-24 13:10:00,2025-03-10 13:10:00,2025-03-09 13:10:00,0.0
T000178,M0183,B0122,BR2,2024-03-28 11:48:00,2024-04-11 11:48:00,2024-03-31 11:48:00,0.0
T000179,M0226,B0077,BR2,2025-11-17 17:35:00,2025-12-01 17:35:00,2025-12-21 17:35:00,5.0
T000180,M0373,B0300,BR4,2024-11-30 13:45:00,2024-12-14 13:45:00,2024-12-06 13:45:00,0.0
T000181,M0389,B0482,BR1,2024-10-08 19:16:00,2024-10-22 19:16:00,2024-10-13 19:16:00,0.0
T000182,M0531,B0198,BR1,2024-10-23 16:24:00,2024-11-06 16:24:00,2024-11-21 16:24:00,3.75
T000183,M0404,B0122,BR1,2024-08-26 16:30:00,2024-09-09 16:30:00,2024-09-03 16:30:00,0.0
T000184,M0220,B0209,BR2,2025-10-23 16:44:00,2025-11-06 16:44:00,2025-10-25 16:44:00,0.0
T000185,M0032,B0191,BR1,2025-10-24 12:20:00,2025-11-07 12:20:00,2025-11-03 12:20:00,0.0
T000186,M0743,B0127,BR4,2025-11-17 13:07:00,2025-12-01 13:07:00,2025-11-20 13:07:00,0.0
T000187,M0150,B0318,BR4,2024-04-10 17:52:00,2024-04-24 17:52:00,2024-04-13 17:52:00,0.0
T000188,M0103,B0273,BR4,2025-03-18 16:33:00,2025-04-01 16:33:00,2025-03-28 16:33:00,0.0
T000189,M0148,B0073,BR4,2024-03-08 13:05:00,2024-03-22 13:05:00,2024-03-10 13:05:00,0.0
T000190,M0417,B0239,BR3,2025-06-11 16:04:00,2025-06-25 16:04:00,2025-06-19 16:04:00,0.0
T000191,M0303,B0116,BR4,2025-02-13 14:02:00,2025-02-27 14:02:00,2025-02-14 14:02:00,0.0
T000192,M0618,B0223,BR1,2025-10-29 18:27:00,2025-11-12 18:27:00,2025-11-27 18:27:00,3.75
T000193,M0772,B0333,BR3,2024-09-13 17:51:00,2024-09-27 17:51:00,2024-09-20 17:51:00,0.0
T000194,M0309,B0156,BR1,2024-05-13 18:53:00,2024-05-27 18:53:00,2024-05-23 18:53:00,0.0
T000195,M0208,B0024,BR1,2025-08-26 18:00:00,2025-09-09 18:00:00,2025-09-05 18:00:00,0.0
T000196,M0410,B0247,BR1,2024-11-27 15:41:00,2024-12-11 15:41:00,2024-12-09 15:41:00,0.0
T000197,M0380,B0402,BR4,2025-04-18 11:31:00,2025-05-02 11:31:00,2025-05-09 11:31:00,1.75
T000198,M0468,B0119,BR3,2025-11-19 19:29:00,2025-12-03 19:29:00,2025-11-21 19:29:00,0.0
T000199,M0541,B0026,BR3,2025-10-18 14:13:00,2025-11-01 14:13:00,2025-10-21 14:13:00,0.0
T000200,M0327,B0414,BR3,2024-03-08 15:42:00,2024-03-22 15:42:00,2024-03-10 15:42:00,0.0
T000201,M0447,B0421,BR4,2025-04-03 12:38:00,2025-04-17 12:38:00,2025-04-08 12:38:00,0.0
T000202,M0756,B0012,BR3,2025-11-29 13:11:00,2025-12-13 13:11:00,2025-12-10 13:11:00,0.0
T000203,M0488,B0044,BR2,2025-12-29 15:52:00,2026-01-12 15:52:00,,0.0
T000204,M0187,B0129,BR3,2025-02-17 15:17:00,2025-03-03 15:17:00,2025-02-22 15:17:00,0.0
T000205,M0724,B0136,BR1,2025-03-14 18:03:00,2025-03-28 18:03:00,2025-03-16 18:03:00,0.0
T000206,M0237,B0388,BR1,2024-11-11 17:38:00,2024-11-25 17:38:00,2024-11-21 17:38:00,0.0
T000207,M0652,B0314,BR1,2024-04-22 13:29:00,2024-05-06 13:29:00,2024-04-28 13:29:00,0.0
T000208,M0725,B0335,BR1,2025-01-31 14:04:00,2025-02-14 14:04:00,2025-02-12 14:04:00,0.0
T000209,M0785,B0123,BR2,2024-01-15 15:14:00,2024-01-29 15:14:00,2024-02-16 15:14:00,4.5
T000210,M0154,B0207,BR4,2024-04-27 12:34:00,2024-05-11 12:34:00,2024-05-07 12:34:00,0.0
T000211,M0406,B0032,BR4,2025-09-27 13:25:00,2025-10-11 13:25:00,2025-10-01 13:25:00,0.0
T000212,M0501,B0159,BR3,2025-05-23 19:19:00,2025-06-06 19:19:00,2025-05-28 19:19:00,0.0
T000213,M0321,B0296,BR1,2024-10-27 12:57:00,2024-11-10 12:57:00,2024-11-27 12:57:00,4.25
T000214,M0534,B0006,BR1,2024-04-09 15:35:00,2024-04-23 15:35:00,2024-04-17 15:35:00,0.0
T000215,M0318,B0201,BR1,2025-03-03 15:21:00,2025-03-17 15:21:00,2025-03-14 15:21:00,0.0
T000216,M0406,B0153,BR4,2024-11-29 17:22:00,2024-12-13 17:22:00,2024-12-06 17:22:00,0.0
T000217,M0593,B0280,BR2,2025-08-27 12:07:00,2025-09-10 12:07:00,2025-09-08 12:07:00,0.0
T000218,M0149,B0248,BR3,2025-10-22 18:59:00,2025-11-05 18:59:00,2025-10-25 18:59:00,0.0
T000219,M0005,B0293,BR1,2025-01-29 13:36:00,2025-02-12 13:36:00,2025-02-11 13:36:00,0.0
T000220,M0577,B0402,BR2,2024-03-23 18:30:00,2024-04-06 18:30:00,2024-03-28 18:30:00,0.0
T000221,M0527,B0476,BR3,2024-02-16 16:47:00,2024-03-01 16:47:00,2024-02-23 16:47:00,0.0
T000222,M0373,B0442,BR4,2025-12-01 15:29:00,2025-12-15 15:29:00,2025-12-13 15:29:00,0.0
T000223,M0066,B0341,BR3,2024-01-30 14:21:00,2024-02-13 14:21:00,2024-02-02 14:21:00,0.0
T000224,M0756,B0082,BR3,2025-11-27 16:51:00,2025-12-11 16:51:00,2025-12-10 16:51:00,0.0
T000225,M0569,B0127,BR2,2024-06-26 19:49:00,2024-07-10 19:49:00,2024-07-21 19:49:00,2.75
T000226,M0707,B0194,BR2,2024-04-17 12:27:00,2024-05-01 12:27:00,2024-05-09 12:27:00,2.0
T000227,M0235,B0203,BR3,2025-05-07 19:37:00,2025-05-21 19:37:00,2025-05-16 19:37:00,0.0
T000228,M0310,B0046,BR2,2024-11-13 14:29:00,2024-11-27 14:29:00,2024-11-14 14:29:00,0.0
T000229,M0052,B0438,BR4,2025-11-27 17:50:00,2025-12-11 17:50:00,2025-11-30 17:50:00,0.0
T000230,M0610,B0481,BR4,2024-03-21 16:26:00,2024-04-04 16:26:00,2024-03-28 16:26:00,0.0
T000231,M0409,B0039,BR1,2024-06-23 11:08:00,2024-07-07 11:08:00,2024-06-25 11:08:00,0.0
T000232,M0471,B0490,BR1,2025-04-28 12:53:00,2025-05-12 12:53:00,2025-05-24 12:53:00,3.0
T000233,M0044,B0210,BR4,2024-09-06 19:12:00,2024-09-20 19:12:00,2024-09-12 19:12:00,0.0
T000234,M0454,B0026,BR3,2025-05-20 14:58:00,2025-06-03 14:58:00,2025-05-28 14:58:00,0.0
T000235,M0132,B0032,BR2,2025-10-11 12:10:00,2025-10-25 12:10:00,2025-10-15 12:10:00,0.0
T000236,M0640,B0331,BR2,2025-08-21 18:56:00,2025-09-04 18:56:00,2025-09-02 18:56:00,0.0
